City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Carnarvon,AU,2020-12-27 17:37:19,-24.87,113.63,77.0,88,0,16.11
161,Kruisfontein,ZA,2020-12-27 17:37:43,-34.0,24.73,66.99,73,82,4.0
162,Wad Madani,SD,2020-12-27 17:39:44,14.4,33.52,77.49,22,77,11.9
163,Udachnyy,RU,2020-12-27 17:37:47,66.42,112.4,-5.8,83,90,6.71
164,Finnsnes,NO,2020-12-27 17:39:44,69.23,17.98,15.8,61,75,38.03
165,Lakes Entrance,AU,2020-12-27 17:39:45,-37.88,147.98,54.0,93,100,1.01
166,Ribeira Grande,PT,2020-12-27 17:36:54,38.52,-28.7,59.0,67,75,12.75
167,Kuusamo,FI,2020-12-27 17:38:30,65.97,29.18,8.6,84,90,10.29
168,Pangkalanbuun,ID,2020-12-27 17:39:45,-2.68,111.62,75.16,95,78,2.62
169,Naze,JP,2020-12-27 17:37:34,28.37,129.48,66.2,93,75,14.99
170,Codrington,AU,2020-12-27 17:38:14,-38.27,141.97,49.57,67,16,9.28
171,Vanavara,RU,2020-12-27 17:39:46,60.34,102.28,-35.1,82,93,4.47
172,Beloha,MG,2020-12-27 17:37:20,-25.17,45.05,82.2,68,3,10.83
173,Sorland,NO,2020-12-27 17:38:06,67.67,12.69,33.8,86,90,26.4
174,Nanortalik,GL,2020-12-27 17:38:53,60.14,-45.24,37.69,71,56,14.83
175,Prince Rupert,CA,2020-12-27 17:39:47,54.32,-130.32,41.0,93,90,3.36
176,Victoria,HK,2020-12-27 17:34:59,22.29,114.16,69.01,68,42,9.62
177,Sao Felix Do Xingu,BR,2020-12-27 17:39:48,-6.64,-51.99,88.32,56,100,0.2
178,Olafsvik,IS,2020-12-27 17:39:48,64.89,-23.71,36.32,81,64,26.78
179,Moose Jaw,CA,2020-12-27 17:39:48,50.4,-105.53,14.0,92,75,11.41
180,Ivanovka,KG,2020-12-27 17:39:26,42.89,75.08,23.0,92,90,4.47
181,Khuzhir,RU,2020-12-27 17:39:49,53.19,107.34,-9.63,91,100,19.17
182,Bloemendaal,NL,2020-12-27 17:35:11,52.4,4.62,43.0,93,75,9.17
183,Santa Rosa,PH,2020-12-27 17:39:49,14.31,121.11,75.2,100,75,1.12
184,Anadyr,RU,2020-12-27 17:38:46,64.75,177.48,12.2,85,20,38.03
185,Isangel,VU,2020-12-27 17:38:17,-19.55,169.27,77.99,81,68,7.23
186,Chokurdakh,RU,2020-12-27 17:37:21,70.63,147.92,-30.73,82,0,5.21
187,Rio De Janeiro,BR,2020-12-27 17:35:36,-22.9,-43.21,81.0,88,75,5.82
188,Port Keats,AU,2020-12-27 17:39:50,-14.25,129.55,82.09,83,58,9.46
189,Northam,GB,2020-12-27 17:38:42,51.03,-4.22,43.0,86,69,4.0
190,Donskoye,RU,2020-12-27 17:37:54,45.46,41.97,33.8,100,90,4.47
191,Asau,RO,2020-12-27 17:39:51,46.43,26.4,34.0,100,90,6.93
192,Tombouctou,ML,2020-12-27 17:37:07,20.0,-3.0,72.37,20,82,5.19
193,Griffith,US,2020-12-27 17:39:51,41.53,-87.42,43.0,69,1,14.99
194,Kihurio,TZ,2020-12-27 17:39:52,-4.47,38.07,74.12,70,88,7.07
195,Parsons,US,2020-12-27 17:39:52,37.34,-95.26,57.2,45,1,13.87
196,Freeport,US,2020-12-27 17:38:03,40.66,-73.58,37.99,44,1,6.93
197,San Patricio,US,2020-12-27 17:38:16,28.02,-97.52,75.2,60,40,19.46
