City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Dzierzoniow,PL,50.7282,16.6514,32.0,30,95,3.02,overcast clouds
199,Naze,JP,28.3667,129.4833,48.45,74,98,14.9,overcast clouds
200,Ostrovnoy,RU,68.0531,39.5131,9.79,93,100,9.01,overcast clouds
201,Araguacu,BR,-12.9306,-49.8264,91.06,53,91,1.16,overcast clouds
202,Leningradskiy,RU,69.3833,178.4167,-21.57,84,35,4.63,scattered clouds
203,Atuona,PF,-9.8,-139.0333,78.19,74,86,18.23,overcast clouds
204,Placido De Castro,BR,-10.3353,-67.1856,92.25,45,40,4.18,scattered clouds
205,Puerto Escondido,MX,15.85,-97.0667,80.6,69,1,6.91,clear sky
206,Roald,NO,62.5833,6.1333,33.8,93,90,16.11,light snow
207,Provideniya,RU,64.3833,-173.3,-7.76,83,0,7.07,clear sky
208,Biryusinsk,RU,55.9634,97.8235,5.97,94,100,6.67,overcast clouds
209,Chara,RU,56.9064,118.2631,-12.84,75,96,3.91,overcast clouds
210,High Rock,BS,26.6208,-78.2833,60.8,63,75,10.36,broken clouds
211,Nizwa,OM,22.9333,57.5333,51.26,45,0,4.34,clear sky
212,Turka,UA,49.1541,23.0297,33.01,79,42,3.04,scattered clouds
213,Kermanshah,IR,34.3142,47.065,30.2,47,0,4.61,clear sky
214,Chuy,UY,-33.6971,-53.4616,72.43,56,95,11.7,overcast clouds
215,Zavodskoy,RU,43.4597,132.2922,-14.8,70,37,3.42,scattered clouds
216,Constitucion,CL,-35.3333,-72.4167,62.37,55,14,18.14,few clouds
217,Severnyy,RU,50.677,36.5532,32.0,93,75,11.18,snow
218,Charyshskoye,RU,51.3978,83.5598,10.13,83,100,4.81,overcast clouds
219,Pangody,RU,65.85,74.4859,-7.62,91,97,7.83,overcast clouds
220,Isangel,VU,-19.55,169.2667,78.8,94,75,3.31,broken clouds
221,Abu Samrah,SY,35.3029,37.1841,52.03,45,93,5.12,overcast clouds
222,Puerto Leguizamo,CO,-0.1934,-74.7819,87.42,52,16,5.64,few clouds
223,Kibala,TD,9.1104,18.3463,75.2,46,0,3.53,clear sky
224,Harriston,CA,43.9001,-80.883,33.01,64,100,3.44,overcast clouds
225,Kruisfontein,ZA,-34.0033,24.7314,72.0,80,56,8.01,light rain
226,Wheatley,GB,51.7473,-1.1394,30.99,100,90,3.44,overcast clouds
227,Nouadhibou,MR,20.931,-17.0347,66.2,68,0,18.41,clear sky
228,Ambilobe,MG,-13.2,49.05,74.84,92,26,1.59,light rain
229,Acandi,CO,8.5063,-77.2778,82.36,75,100,1.05,light rain
230,Chabahar,IR,25.2919,60.643,61.79,42,0,8.1,clear sky
231,Rio Grande,BR,-32.035,-52.0986,82.4,69,75,11.5,broken clouds
